County,CountyDrinking,Population,Excessive,BirthDefectCases,Lower CI (%) (with nulls),BDPrevalence,Upper CI (%) (with nulls),Data Suppression (with nulls) (infants),Texas big cities,Texas small cities,Birth Defect,Color nulls supressed data (CI dash),Color nulls supressed data (infants),,,,,,Drinking Error Margin,DrinkingZ,Geometry (generated),Latitude (generated),Longitude (generated),GDPcap,FIPS,FIPS State,OverdoseRate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit,Urban/Rural Category,Census Division,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,PhysEnvi,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Anderson,0.19,"57,922",11005.18,278,4.25%,0.0482,5.38%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-19%,0.38,"POLYGON((-96.0527 32.0059,-95.7874 32.0376,-95.4285 32.0845,-95.4245 32.0194,-95.4536 31.9605,-95.4203 31.9264,-95.4371 31.902,-95.4409 31.8416,-95.4125 31.8349,-95.3996 31.7668,-95.3386 31.7353,-95.2901 31.6842,-95.2734 31.5929,-95.6518 31.5418,-95.6472 31.527,-95.7399 31.5039,-95.7524 31.5515,-95.7158 31.5541,-95.729 31.5832,-95.7105 31.6162,-95.7354 31.6537,-95.7676 31.5976,-95.7874 31.6184,-95.7941 31.6602,-95.82 31.687,-95.8808 31.7009,-95.8783 31.7565,-95.9835 31.7881,-95.9701 31.8773,-96.0205 31.8716,-96.0017 31.9069,-96.0197 31.9552,-96.0548 31.9484,-96.0527 32.0059))",31.7951,-95.6887,32785.00,48001,48,19.45625,1.50466,16.73071,22.62682,Micropolitan,7,"1,063",55,39.1,26.5,18,389.0,49,9.9,207.00,15,34,11,0.05380,20.7,59.1
Andrews,0.21,"18,610",3908.1,146,4.01%,0.0479,5.56%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,20-22%,1.76,"POLYGON((-103.0647 32.5222,-102.211 32.5232,-102.2112 32.0868,-102.287 32.087,-102.7991 32.0858,-103.0643 32.0871,-103.0647 32.5222))",32.2885,-102.6379,34154.00,48003,48,13.24391,2.12741,9.7226,18.04148,Micropolitan,7,"1,501",13,32.4,23,13,265.1,68,7.3,94.00,14,32,9,0.05560,1.4,40.2
Angelina,0.18,"86,395",15551.1,528,4.18%,0.0457,4.96%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-19%,0.16,"POLYGON((-95.0032 31.4261,-94.8658 31.527,-94.8238 31.485,-94.8074 31.4896,-94.6866 31.4508,-94.5548 31.4351,-94.5371 31.3986,-94.5022 31.4105,-94.4494 31.3213,-94.396 31.3024,-94.383 31.2741,-94.3266 31.2248,-94.2622 31.1803,-94.2242 31.1757,-94.1929 31.1362,-94.1296 31.0993,-94.4578 31.0335,-94.5617 31.0591,-94.6143 31.0851,-94.7381 31.1036,-94.8428 31.1467,-94.8749 31.2506,-94.8977 31.2582,-94.9023 31.3319,-94.9613 31.3493,-94.958 31.387,-95.0032 31.4261))",31.2769,-94.6355,34373.00,48005,48,14.90934,1.08283,12.93812,17.18157,Micropolitan,7,798,110,37.6,29.9,18,551.8,46,9.8,177.00,16,40,14,0.04960,14.8,60.7
Aransas,0.16,"23,830",3812.8,151,5.50%,0.0655,7.59%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.94,"MULTIPOLYGON(((-96.7987 28.2763,-96.8084 28.2256,-96.8088 28.2237,-96.8088 28.2236,-96.809 28.2223,-96.8095 28.2199,-96.9111 28.1357,-96.9868 28.1287,-97.0373 28.2013,-97.1022 28.2266,-97.1235 28.2728,-96.7905 28.3192,-96.7987 28.2763)),((-96.8722 28.1315,-96.85 28.0638,-97.0554 27.8472,-96.9632 28.0229,-96.8722 28.1315)),((-97.1338 27.9009,-97.1353 27.903,-97.1363 27.9044,-97.1847 27.971,-97.1354 28.0472,-97.0246 28.1133,-97.031 28.0486,-97.1338 27.9009)),((-97.0578 27.867,-97.0579 27.8641,-97.059 27.8698,-97.0582 27.8679,-97.0578 27.867)),((-97.0788 27.9171,-97.07442622950781 27.9065459016384,-97.0785 27.9163,-97.0788 27.9171)),((-97.07442622950781 27.9065459016384,-97.0714 27.8993,-97.0696 27.8949,-97.07442622950781 27.9065459016384)),((-97.2608 28.0758,-97.2415 28.0623,-97.15 28.0338,-97.1872 27.9745,-97.2608 28.0758)))",28.2209,-96.8754,35832.00,48007,48,26.10291,2.61263,21.48372,31.71716,Noncore,7,252,104,50.6,27.1,16,532.5,46,9.3,91.00,16,32,14,0.07590,1.4,67.2
Archer,0.20,"8,560",1712,34,3.05%,0.044,6.15%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-21%,1.08,"POLYGON((-98.9539 33.3975,-98.9531 33.834,-98.4236 33.836,-98.4214 33.4668,-98.4207 33.3962,-98.9539 33.3975))",33.6138,-98.6883,35913.00,48009,48,21.17224,3.55265,15.33867,29.22744,Small Metro,7,903,10,42.3,18.6,14,126.2,24,8.5,128.00,10,28,11,0.06150,0.8,88.0
Armstrong,0.20,"1,848",369.6,15,4.02%,0.0718,11.84%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,20-21%,1.2,"POLYGON((-101.6293 34.7476,-101.6229 35.1831,-101.0863 35.1821,-101.0907 34.7482,-101.4716 34.7475,-101.6293 34.7476))",34.9658,-101.3572,37156.00,48011,48,9.88176,2.88818,5.75005,16.97555,Noncore,7,909,2,44.4,12.4,13,3543.9,35,6.8,7.00,9,29,11,0.11840,0.9,89.6
Atascosa,0.18,"48,981",8816.58,428,5.76%,0.0636,6.97%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-19%,0.02,"POLYGON((-98.8049 29.0904,-98.8047 29.2507,-98.4073 29.1144,-98.191 28.8823,-98.0983 28.7869,-98.335 28.6127,-98.3355 28.6483,-98.8008 28.6473,-98.8008 28.6475,-98.8049 29.0904))",28.9347,-98.5218,38523.00,48013,48,10.27619,1.15532,8.26054,12.78453,Noncore,7,"1,220",44,36.3,24.8,14,654.5,48,9.6,173.00,16,34,12,0.06970,0.7,33.4
Austin,0.18,"30,167",5430.06,200,5.00%,0.058,6.61%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-19%,0.25,"POLYGON((-96.5698 29.9615,-96.622 30.0443,-96.586 30.0647,-96.5188 30.0652,-96.2913 30.0964,-96.1628 30.0531,-96.1454 30.0702,-96.1179 30.0505,-96.0949 29.9598,-96.1312 29.9337,-96.1263 29.8989,-96.093 29.8794,-96.1221 29.8394,-96.1025 29.8097,-96.0499 29.8038,-96.0327 29.7279,-96.0144 29.6847,-96.0596 29.6775,-96.0193 29.6607,-96.0252 29.6028,-96.0888 29.6017,-96.1146 29.6235,-96.1756 29.6338,-96.2004 29.6573,-96.2551 29.6659,-96.2706 29.7171,-96.3115 29.7561,-96.3307 29.8149,-96.4135 29.8249,-96.5357 29.9073,-96.5698 29.9615))",29.8495,-96.275,39462.00,48015,48,8.63931,1.31977,6.43585,11.59793,Noncore,7,646,51,41.6,25.1,14,321.3,32,10.2,188.00,13,30,10,0.06610,8.8,62.0
Bailey,0.16,"6,904",1104.64,63,3.95%,0.0513,6.57%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,15-16%,-1.22,"POLYGON((-103.0473 33.8247,-103.044 33.9746,-103.0439 34.3026,-103.0438 34.3128,-102.6152 34.3129,-102.6154 33.8251,-103.0473 33.8247))",34.0706,-102.8295,40541.00,48017,48,11.13776,2.48151,7.30394,16.98342,Noncore,7,827,8,33.9,26.9,18,305.1,74,6.8,23.00,20,29,10,0.06570,1.1,32.9
Bandera,0.17,"20,851",3544.67,84,3.92%,0.0492,6.09%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-18%,-0.45,"POLYGON((-99.6031 29.6272,-99.6009 29.9077,-99.2789 29.9042,-99.1763 29.895,-98.9177 29.7814,-98.779 29.72,-98.8066 29.6907,-98.9272 29.5623,-98.9852 29.5641,-98.9838 29.6235,-99.4118 29.6275,-99.6031 29.6272))",29.729,-99.2012,41009.00,48019,48,13.77606,1.93726,10.49848,18.07872,Noncore,7,791,30,52.5,22.9,14,112.8,19,8.9,155.00,11,29,11,0.06090,0.9,77.8
